run_id,mode,K,dtype,peak_rss_mb,wall_sec,iters,top10_signature
1,csr_block,4,float32,34.0,0.3516245,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
2,csr_block,4,float32,35.76171875,0.39421609999999996,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
3,csr_block,4,float32,35.71875,0.3815538,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
4,csr_block,8,float32,36.17578125,0.43215509999999996,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
5,csr_block,8,float32,35.8515625,0.4330736,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
6,csr_block,8,float32,35.94921875,0.4027268,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
7,csr_block,16,float32,35.79296875,0.4907343,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
8,csr_block,16,float32,33.42578125,0.4369578,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
9,csr_block,16,float32,35.69921875,0.44428609999999996,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
